"Sodertalje, Sweden",3
"Bangkok Metropolitan Area, Thailand",3
"Norfolk, Virginia Area",3
"Newcastle upon Tyne, United Kingdom",3
"Shaoxing, Zhejiang, China",3
"Rest of Xinjiang, China",3
"Little Rock, Arkansas Area",3
"Weifang, Shandong, China",3
"Iowa City, Iowa Area",3
"Fargo, North Dakota Area",3
"Rest of Hunan, China",3
"Almere Stad Area, Netherlands",3
"Duluth, Minnesota Area",3
"Huzhou, Zhejiang, China",3
"Reading, United Kingdom",3
Colombia,3
"Jiaxing, Zhejiang, China",3
"Toledo, Ohio Area",3
"Rest of Inner Mongolia, China",3
"Nürnberg Area, Germany",3
Chile,2
"Taiyuan, Shanxi, China",2
"Dortmund Area, Germany",2
"Fukuoka, Japan",2
"Saginaw, Michigan Area",2
"Tilburg Area, Netherlands",2
"Las Vegas, Nevada Area",2
"Hull, United Kingdom",2
"Lawrence, Kansas Area",2
"Twickenham, United Kingdom",2
"Corvallis, Oregon Area",2
"Evansville, Indiana Area",2
"Leeds, United Kingdom",2
"Tampa/St. Petersburg, Florida Area",2
"Groningen Area, Netherlands",2
"Quebec, Canada",2
Austria,2
"Rest of Anhui, China",2
"Aberdeen, United Kingdom",2
"Lille Area, France",2
"Mannheim Area, Germany",2
Czech Republic,2
"Parkersburg, West Virginia Area",2
"Sealand Region, Denmark",2
"Fresno, California Area",2
"Johnson City, Tennessee Area",2
Romania,2
"Turin Area, Italy",2
"Huntsville, Alabama Area",2
"Johannesburg Area, South Africa",2
"Madrid Area, Spain",2
"Lappeenranta Area, Finland",2
"Sioux Falls, South Dakota Area",2
"Reno, Nevada Area",2
"Rest of Liaoning, China",2
Luxembourg,2
"Tangshan, Hebei, China",2
"Kalamazoo, Michigan Area",2
"Cambridge, United Kingdom",2
Papua New Guinea,2
"Dayton, Ohio Area",2
"Xining, Qinghai, China",2
Tanzania,2
"Mexico City Area, Mexico",2
"Xuzhou, Jiangsu, China",2
"Yangzhou, Jiangsu, China",2
"Braunschweig Area, Germany",2
"Johnstown, Pennsylvania Area",2
"Rest of Gansu, China",2
"Rest of Guangxi, China",2
"Greensboro/Winston-Salem, North Carolina Area",2
Qatar,2
"Mobile, Alabama Area",2
"Charleston, South Carolina Area",1
"Shizuoka, Japan",1
"Bradford, United Kingdom",1
Slovak Republic,1
"Hatay, Turkey",1
"Chester, United Kingdom",1
"Reading, Pennsylvania Area",1
"Baoding, Hebei, China",1
"Cheyenne, Wyoming Area",1
"Nantes Area, France",1
"La Crosse, Wisconsin Area",1
Netherlands Antilles,1
"Rest of Ningxia, China",1
"Decatur, Alabama Area",1
"Troyes Area, France",1
"Gorizia Area, Italy",1
"Cochin Area, India",1
Myanmar,1
"Townsville, Australia",1
Switzerland,1
Estonia,1
"Cairns, Australia",1
"Halle-Neustadt Area, Germany",1
"Flagstaff, Arizona Area",1
"Eugene, Oregon Area",1
"Lafayette, Louisiana Area",1
"Tulsa, Oklahoma Area",1
"Harrisburg, Pennsylvania Area",1
"Stockton, California Area",1
"Toulouse Area, France",1
Puerto Rico,1
"Bolzano Area, Italy",1
Monaco area,1
"El Paso, Texas Area",1
"Chenzhou, Hunan, China",1
"Naucalpan de Juárez Area, Mexico",1
"Coimbatore Area, India",1
"Yulin, Guangxi, China",1
"Topeka, Kansas Area",1
Malawi,1
"Saarbrücken Area, Germany",1
"Sanya, Hainan, China",1
"Canterbury & West Coast, New Zealand",1
Nigeria,1
Cayman Islands,1
"Hengyang, Hunan, China",1
"Rest of Shanxi, China",1
"Kassel Area, Germany",1
"Chattanooga, Tennessee Area",1
"Green Bay, Wisconsin Area",1
"Utica, New York Area",1
"Augsburg Area, Germany",1
"Yichun, Jiangxi, China",1
"Ibaraki, Japan",1
"Jackson, Michigan Area",1
Italy,1
"Redhill, United Kingdom",1
"New Brunswick, Canada",1
"Marseille Area, France",1
"Biloxi, Mississippi Area",1
"Ticino, Switzerland",1
"Winterthur Area, Switzerland",1
"Sheboygan, Wisconsin Area",1
"Warrington, United Kingdom",1
"Jingzhou, Hubei, China",1
"Phuket, Thailand",1
"Otago & Southland, New Zealand",1
"Lexington, Kentucky Area",1
Malaysia,1
"Southern Region, South Jutland, Denmark",1
"Qinhuangdao, Hebei, China",1
Latvia,1
Zimbabwe,1
"Gifu, Japan",1
"Bendigo, Australia",1
"Erfurt Area, Germany",1
"Hyderabad Area, India",1
"Terre Haute, Indiana Area",1
"Southern Region, Funen, Denmark",1
"Kaifeng, Henan, China",1
"Hengshui, Hebei, China",1
"Joplin, Missouri Area",1
"Anyang, Henan, China",1
"Bucharest, Romania",1
"Jilin, Jilin, China",1
"Bath, United Kingdom",1
"York, United Kingdom",1
"Saskatchewan, Canada",1
"Albany, Georgia Area",1
"Jining, Shandong, China",1
Afghanistan,1
Angola,1
"Lasa, Tibet, China",1
"Bengaluru Area, India",1
"Glens Falls, New York Area",1
"New Delhi Area, India",1
Hungary,1
Uganda,1
"Zapopan Area, Mexico",1
"Stoke-on-Trent, United Kingdom",1
"Trondheim Area, Norway",1
"Shijiazhuang, Hebei, China",1
"Malmo, Sweden",1
"Yokohama, Kanagawa, Japan",1
"Greater Poland District, Poznan County, Poland",1
"Yichang, Hubei, China",1
"NCR - National Capital Region, Philippines",1
"Fort Myers, Florida Area",1
"Monroe, Louisiana Area",1
Indonesia,1
"São Paulo Area, Brazil",1
Slovenia,1
"Changde, Hunan, China",1
Ukraine,1
"Lijiang, Yunnan, China",1
"Oshkosh, Wisconsin Area",1
"Portland, Maine Area",1
"Baton Rouge, Louisiana Area",1
Cote D’Ivoire (Ivory Coast),1
"Coventry, United Kingdom",1
"Brest Area, France",1
"Exeter, United Kingdom",1
Iceland,1
"Florence Area, Italy",1
"Huaian, Jiangsu, China",1
"Nantong, Jiangsu, China",1
Sultanate of Oman,1
"Yuncheng, Shanxi, China",1
"Wolverhampton, United Kingdom",1
"Killeen/Temple, Texas Area",1
"Uppsala, Sweden",1
"Rest of Shaanxi, China",1
"Greenville, North Carolina Area",1
Iraq,1
"Bremen Area, Germany",1
"Bundaberg, Australia",1
"Luoyang, Henan, China",1
"Waikato, New Zealand",1
"Ehime, Japan",1
"Montgomery, Alabama Area",1
"Winnipeg, Canada Area",1
"Crewe, United Kingdom",1
"Pavia Area, Italy",1
"Louisville, Kentucky Area",1
Christmas Island,1
"Bologna Area, Italy",1
"Taipei City, Taiwan",1
"Bloomington/Normal, Illinois Area",1
"Liverpool, United Kingdom",1
"Basel Area, Switzerland",1
"Northern Region, Denmark",1
"Gloucester, United Kingdom",1
"Merced, California Area",1
"Quanzhou, Fujian, China",1
"Cedar Rapids, Iowa Area",1
"Penang, Malaysia",1
"Apeldoorn Area, Netherlands",1
"Yancheng, Jiangsu, China",1
Togo,1
"Enschede Area, Netherlands",1
"Bern Area, Switzerland",1
"Milton Keynes, United Kingdom",1
"Geumcheon-gu, Seoul, Korea",1
Hungary area,1
"Sarasota, Florida Area",1
"Bangor, Maine Area",1
"Newfoundland And Labrador, Canada",1
"San Antonio, Texas Area",1
"Yueyang, Hunan, China",1
"Daytona Beach, Florida Area",1
"Suwon, Gyeonggi-do, Korea",1
"Wakefield, United Kingdom",1
"Wichita, Kansas Area",1
"Saint Petersburg, Russian Federation",1
"Rennes Area, France",1
"Zhengzhou, Henan, China",1
"Edinburgh, United Kingdom",1
"Victoria, Australia",1
India,1
Bosnia and Herzegovina,1
"Macon, Georgia Area",1
"Visalia, California Area",1
"South Bend, Indiana Area",1
"Paisley, United Kingdom",1
"Porto Alegre Area, Brazil",1
"Freiburg Area, Germany",1
"Fort Collins, Colorado Area",1
"Salinas, California Area",1
"Guilin, Guangxi, China",1
"Worcester, United Kingdom",1
Austria area,1
